src,dst,travelMinutes,weight
6507,41,0.46,0.9768
41,4417,0.49,0.9757
4417,41,0.49,0.9757
41,433,0.52,0.9741
433,41,0.52,0.9741
42,4712,0.04,0.9978
4712,42,0.04,0.9978
42,4108,3.18,0.841
4108,42,3.18,0.841
42,7625,3.72,0.8141
7625,42,3.72,0.8141
42,753,3.85,0.8074
753,42,3.85,0.8074
42,2305,4.17,0.7914
2305,42,4.17,0.7914
42,2284,4.37,0.7817
2284,42,4.37,0.7817
42,1907,6.47,0.6765
1907,42,6.47,0.6765
42,2013,7.02,0.6488
2013,42,7.02,0.6488
43,9770,0.06,0.9968
9770,43,0.06,0.9968
43,3586,0.54,0.9732
3586,43,0.54,0.9732
43,944,0.58,0.971
944,43,0.58,0.971
43,9483,0.69,0.9656
9483,43,0.69,0.9656
43,5716,0.71,0.9643
5716,43,0.71,0.9643
43,3337,0.72,0.9642
3337,43,0.72,0.9642
43,384,0.72,0.964
384,43,0.72,0.964
43,4424,0.8,0.9602
4424,43,0.8,0.9602
44,12542,0.17,0.9916
12542,44,0.17,0.9916
44,12783,4.11,0.7946
12783,44,4.11,0.7946
44,12520,4.14,0.7928
12520,44,4.14,0.7928
44,11081,4.48,0.7758
11081,44,4.48,0.7758
44,1252,5.1,0.7451
1252,44,5.1,0.7451
44,875,5.94,0.7032
875,44,5.94,0.7032
44,11879,6.4,0.68
11879,44,6.4,0.68
44,13039,6.82,0.6591
13039,44,6.82,0.6591
45,10410,0.41,0.9794
10410,45,0.41,0.9794
45,1367,0.74,0.9631
1367,45,0.74,0.9631
45,10634,1.05,0.9475
10634,45,1.05,0.9475
45,12319,1.08,0.9461
12319,45,1.08,0.9461
45,279,1.34,0.9331
279,45,1.34,0.9331
45,11021,1.45,0.9276
11021,45,1.45,0.9276
45,10302,1.5,0.9248
10302,45,1.5,0.9248
45,4431,1.51,0.9246
4431,45,1.51,0.9246
46,10174,0.38,0.9808
10174,46,0.38,0.9808
46,9664,0.98,0.9509
9664,46,0.98,0.9509
46,8321,1.03,0.9487
8321,46,1.03,0.9487
46,1725,1.05,0.9474
1725,46,1.05,0.9474
46,8330,1.15,0.9424
8330,46,1.15,0.9424
46,3743,1.21,0.9395
3743,46,1.21,0.9395
46,13220,1.56,0.9219
13220,46,1.56,0.9219
46,12920,1.61,0.9193
12920,46,1.61,0.9193
47,3940,0.28,0.9862
3940,47,0.28,0.9862
47,2469,0.28,0.9861
2469,47,0.28,0.9861
47,600,0.4,0.9802
600,47,0.4,0.9802
47,845,1.91,0.9046
845,47,1.91,0.9046
47,13194,1.97,0.9016
13194,47,1.97,0.9016
47,6996,2.17,0.8914
6996,47,2.17,0.8914
47,769,2.34,0.8828
769,47,2.34,0.8828
47,8219,2.38,0.881
8219,47,2.38,0.881
48,12327,1.06,0.9469
12327,48,1.06,0.9469
48,13172,1.2,0.94
13172,48,1.2,0.94
48,800,1.53,0.9236
800,48,1.53,0.9236
48,3246,1.55,0.9226
3246,48,1.55,0.9226
48,13015,1.55,0.9224
13015,48,1.55,0.9224
48,12124,1.58,0.9211
12124,48,1.58,0.9211
48,12578,1.6,0.9198
12578,48,1.6,0.9198
48,12028,1.94,0.9029
12028,48,1.94,0.9029
49,11800,0.29,0.9857
11800,49,0.29,0.9857
49,12746,1.32,0.9341
12746,49,1.32,0.9341
49,8409,1.62,0.9188
8409,49,1.62,0.9188
49,11973,1.98,0.9012
11973,49,1.98,0.9012
49,2072,2.77,0.8614
2072,49,2.77,0.8614
49,4571,2.9,0.8551
4571,49,2.9,0.8551
49,13275,2.94,0.8528
13275,49,2.94,0.8528
49,88,3.34,0.833
88,49,3.34,0.833
50,3964,0.37,0.9814
3964,50,0.37,0.9814
50,2924,0.38,0.981
2924,50,0.38,0.981
50,11520,0.41,0.9796
11520,50,0.41,0.9796
50,1975,0.9,0.955
1975,50,0.9,0.955
50,253,1.22,0.9391
253,50,1.22,0.9391
50,3948,1.41,0.9296
3948,50,1.41,0.9296
50,11152,1.66,0.917
11152,50,1.66,0.917
50,689,1.79,0.9104
689,50,1.79,0.9104
51,367,0.19,0.9904
367,51,0.19,0.9904
51,3055,0.58,0.9712
3055,51,0.58,0.9712
51,12411,0.79,0.9603
12411,51,0.79,0.9603
51,1131,0.85,0.9576
